温岭 1
温岭市 8
体检 4
变电 80
电站 30
变电站 102
过冬 15
迎春 16
春节 19
迎春节 1120
月 1
日 12609
千伏 4673
大门 21
打开 49
国网 179
供电 21
公司 83
运维 3049
人员 40
工作 2484
号 6174
主变 627
温度 2
显示 182
摄氏 1279
摄氏度 38
油位 38
标准 1
渗漏 1855
无渗漏 7
油 1
情况 48
运行 2945
现场 1377
区 871
电力 1274
负荷 575
输送 38
心脏 39
变 58
健康 203
活络 1950
舒筋活络 4
说 1
重点 2822
把脉 1581
摸清 9
设备 51
状况 1591
健康状况 510
消缺 26
内容 3
各类 1421
检查 554
保养 411
缺陷 33
隐患 44
清理 149
排除 128
确保 41
电网 772
中旬 110
提前 106
谋划 232
组织 153
辖区 1939
座 68
开关 134
闸刀 29
互感 1
感器 1
互感器 53
红外 1
测温 24
仔细 45
仔细检查 76
触头 5
引线 1
接头 2
线 4
夹 532
部位 9
重点部位 43
有无 7
发热 22
温差 89
异常 11
现象 90
异常现象 353
中 3
发现 8280
存有 1161
制定 5
计划 597
消灭 975
萌芽 12
状态 19
特 297
巡 57
安全隐患 7
记录 57
在案 363
记录在案 5
上报 2
整改 93
回头 189
重在 43
指数 12
运维班 3833
班长 1
副班长 12
林刚 1
介绍 1
道 1439
目 343
前 13
特巡 1509
两天 3
全力以赴 66
过程 33
不留 1025
死角 18
尾巴 22
准确 5
把握 322
脉搏 383
行状 9
运行状况 6
百姓 6
老百姓 339
无忧 153
安心 18
陈宣含 71
张丹莹 1
为交 1
温暖 1
答卷 190
保电 40
加码 7
成立 45
支共 757
人的市 1
县 1
三级 243
应急 162
抢修 386
队伍 14
补充 435
物资 142
备品 402
备件 2
备品备件 1
安排 1
辆 363
发电 111
车 447
台 299
便携 237
便携式 11
电机 4
发电机 59
修车 30
抢修车 4
做好 1
全市 922
人民 232
祥和 5024
以待 34
严阵以待 9
定西 3
设备部 3
负责 1
责人 1156
负责人 705
编制 705
下发 184
年 33
方案 15102
机构 840
落实 1390
相关 1396
单位 2901
责任 2443
建立 1281
协调 1038
联动 531
动机 253
机制 148
联动机制 1132
吸取 15
往年 13
保 120
经验 335
各县 553
提出 7
并于 1037
部署 37
部室 675
依次 1
汇报 42
高质 44
高效 1120
做 361
一系 1180
系列 586
一系列 1180
分片 586
包干 5
分片包干 11
责任制 4
研究 31
了市 2840
市 2
领导 649
到县 1152
班子 1
成员 54
班子成员 306
到乡 6
镇 1
供电所 273
员工 8
村组 464
台区 2
领导班子 33
督导 32
共计 46
次 133
下至 368
排查 1
项 146
条 399
线路 214
台配 144
巡视 2
处 82
过热 224
配置 7
重新配置 207
低压 4
高低压 5
熔丝 1
整理 1
树患 113
修剪 1
树木 6
棵 48
治理 23
房线 1294
矛盾 1
夯实 273
基础 145
早 2796
摸排 277
节日 25
日期 126
期间 99
节日期间 1172
务工 18
返乡 156
乡镇 111
涉及 144
逐 385
实测 14
逐家 27
逐户 1
用电 11
错 211
峰 39
宣传 102
专项 779
小组 522
用户 242
信息 1384
累计 3068
营业 868
营业厅 1559
发放 27
传单 186
宣传单 4
余份 2
政府 6
机关 1955
医院 395
密集 747
场所 120
交通 180
枢纽 1243
交通枢纽 84
户 14
通知 367
通知单 386
份 2
督促 49
客户 96
几日 409
近几日 5
经理 1
针对性 816
引导 122
均衡 619
切实 100
保障 397
居民 2042
生活 2993
质量 3252
持续 2714
跟踪 3332
关注 63
近期 975
天气 397
天气状况 267
雨雪 3
冰冻 11
强风 1
天气情况 1
措施 1
特巡及 1130
处置 1
服务 215
半径 9579
服务半径 11
交通状况 4
能力 2
统筹 1920
力量 626
材料 949
资源 1076
调配 1723
马 38
秀 208
霞 64
三峡 27
集团 90
书写 1244
十三 133
五 423
高质量 687
发展 1109
新 12482
时代 8254
关系 1936
国民 889
经济 659
国民经济 8348
命脉 522
国家 19
能源 7189
能源安全 1479
国有 28
骨干 631
企业 75
骨干企业 10604
加快 12
实施 3156
清洁 1865
长江 254
生态 443
环保 2227
两翼 353
齐飞 19
战略 7
做强 1680
优大 27
水电 1
业务 140
培育 1413
海上 394
风电 129
新能源 145
推动 491
产业 2796
